file,table,policy_name,command,using_expr,with_check_expr
20251116000000_create_settings_table.sql,settings,Users can view own settings,SELECT,"auth.uid(",""
20251116000000_create_settings_table.sql,settings,Users can insert own settings,INSERT,"","auth.uid("
20251116000000_create_settings_table.sql,settings,Users can update own settings,UPDATE,"auth.uid(","auth.uid("
20251116000000_create_settings_table.sql,settings,Users can delete own settings,DELETE,"auth.uid(",""
20251116000001_create_base_tables.sql,clients,Users can view own clients,SELECT,"auth.uid(",""
20251116000001_create_base_tables.sql,clients,Users can insert own clients,INSERT,"","auth.uid("
20251116000001_create_base_tables.sql,clients,Users can update own clients,UPDATE,"auth.uid(","auth.uid("
20251116000001_create_base_tables.sql,clients,Users can delete own clients,DELETE,"auth.uid(",""
20251116000001_create_base_tables.sql,products,Products are public for viewing,SELECT,"true",""
20251116000001_create_base_tables.sql,products,Users can insert own products,INSERT,"","auth.uid("
20251116000001_create_base_tables.sql,products,Users can update own products,UPDATE,"auth.uid(","auth.uid("
20251116000001_create_base_tables.sql,products,Users can delete own products,DELETE,"auth.uid(",""
20251116000001_create_base_tables.sql,orders,Users can view own orders,SELECT,"auth.uid(",""
20251116000001_create_base_tables.sql,orders,Users can insert own orders,INSERT,"","auth.uid("
20251116000001_create_base_tables.sql,orders,Users can update own orders,UPDATE,"auth.uid(","auth.uid("
20251116000001_create_base_tables.sql,orders,Users can delete own orders,DELETE,"auth.uid(",""
20251116000001_create_base_tables.sql,order_items,Users can view own order items,SELECT,"EXISTS (
                    SELECT 1 FROM orders
                    WHERE orders.id = order_items.order_id
                    AND orders.user_id = auth.uid(",""
20251116000001_create_base_tables.sql,order_items,Users can insert own order items,INSERT,"","EXISTS (
                    SELECT 1 FROM orders
                    WHERE orders.id = order_items.order_id
                    AND orders.user_id = auth.uid("
20251116000001_create_base_tables.sql,order_items,Users can update own order items,UPDATE,"EXISTS (
                    SELECT 1 FROM orders
                    WHERE orders.id = order_items.order_id
                    AND orders.user_id = auth.uid(","EXISTS (
                    SELECT 1 FROM orders
                    WHERE orders.id = order_items.order_id
                    AND orders.user_id = auth.uid("
20251116000001_create_base_tables.sql,order_items,Users can delete own order items,DELETE,"EXISTS (
                    SELECT 1 FROM orders
                    WHERE orders.id = order_items.order_id
                    AND orders.user_id = auth.uid(",""
20251117000000_add_categories_table.sql,categories,Users can view their own categories,SELECT,"auth.uid(",""
20251117000000_add_categories_table.sql,categories,Users can insert their own categories,INSERT,"","auth.uid("
20251117000000_add_categories_table.sql,categories,Users can update their own categories,UPDATE,"auth.uid(","auth.uid("
20251117000000_add_categories_table.sql,categories,Users can delete their own categories,DELETE,"auth.uid(",""
20251125000000_rename_saved_carts_items_and_user_owner.sql,saved_carts,Users can view own saved carts (owner),SELECT,"auth.uid(",""
20251125000000_rename_saved_carts_items_and_user_owner.sql,saved_carts,Users can insert own saved carts (owner),INSERT,"","auth.uid("
20251125000000_rename_saved_carts_items_and_user_owner.sql,saved_carts,Users can update own saved carts (owner),UPDATE,"auth.uid(",""
20251125000000_rename_saved_carts_items_and_user_owner.sql,saved_carts,Users can delete own saved carts (owner),DELETE,"auth.uid(",""
20251125000000_rename_saved_carts_items_and_user_owner.sql,saved_carts,Anyone can view guest saved carts by short_id (owner),SELECT,"user_id_owner IS NULL",""
20251125083000_fix_profiles_policies.sql,public.profiles,Users can view own profile,SELECT,"auth.uid(",""
20251125083000_fix_profiles_policies.sql,public.profiles,Users can update own profile,UPDATE,"auth.uid(","auth.uid("
20251125091000_add_is_master_function_and_policies.sql,public.profiles,Users can view own profile,SELECT,"auth.uid(",""
20251125091000_add_is_master_function_and_policies.sql,public.profiles,Users can update own profile,UPDATE,"auth.uid(","auth.uid("
